IDCJAC0009,086282,2015,01,01,0.0,,N
IDCJAC0009,086282,2015,01,02,0.0,,N
IDCJAC0009,086282,2015,01,03,0.0,,N
IDCJAC0009,086282,2015,01,04,3.2,1,N
IDCJAC0009,086282,2015,01,05,0.0,,N
IDCJAC0009,086282,2015,01,06,0.0,,N
IDCJAC0009,086282,2015,01,07,0.0,,N
IDCJAC0009,086282,2015,01,08,1.8,1,N
IDCJAC0009,086282,2015,01,09,2.8,1,N
IDCJAC0009,086282,2015,01,10,10.8,1,N
IDCJAC0009,086282,2015,01,11,0.0,1,N
IDCJAC0009,086282,2015,01,12,0.0,,N
IDCJAC0009,086282,2015,01,13,0.0,1,N
IDCJAC0009,086282,2015,01,14,11.0,1,N
IDCJAC0009,086282,2015,01,15,0.0,1,N
IDCJAC0009,086282,2015,01,16,0.0,1,N
IDCJAC0009,086282,2015,01,17,0.2,1,N
IDCJAC0009,086282,2015,01,18,0.0,,N
IDCJAC0009,086282,2015,01,19,0.0,,N
IDCJAC0009,086282,2015,01,20,0.0,,N
IDCJAC0009,086282,2015,01,21,0.0,1,N
IDCJAC0009,086282,2015,01,22,0.0,,N
IDCJAC0009,086282,2015,01,23,0.0,,N
IDCJAC0009,086282,2015,01,24,0.0,,N
IDCJAC0009,086282,2015,01,25,0.2,1,N
IDCJAC0009,086282,2015,01,26,0.0,,N
IDCJAC0009,086282,2015,01,27,0.0,1,N
IDCJAC0009,086282,2015,01,28,0.0,,N
IDCJAC0009,086282,2015,01,29,0.0,,N
IDCJAC0009,086282,2015,01,30,0.0,,N
IDCJAC0009,086282,2015,01,31,0.0,,N
